"","x"
"100_g_at",0.0200835416794449
"1000_at",0.0412963615069728
"1001_at",0.133381508179577
"1002_f_at",0.0145307900100242
"1003_s_at",0.000910379245850912
"1004_at",0.0148193386249909
"1005_at",0.313799226160065
"1006_at",0.207252641352591
"1007_s_at",0.117381681062682
"1008_f_at",0.100084256337332
"1009_at",-0.0283769077047014
"101_at",0.10097776536299
"1010_at",-0.0246691693204499
"1011_s_at",0.052857227482598
"1012_at",0.0927538618056951
"1013_at",0.183346361171799
"1014_at",-0.0578943102411513
"1015_s_at",0.0112441652010151
"1016_s_at",-0.00946664832314248
"1017_at",0.081795654424708
"1018_at",-0.0537208519779233
"1019_g_at",-0.0634070342863966
"102_at",0.0410801628724549
"1020_s_at",0.00337146790277609
"1021_at",0.04304038054242
"1022_f_at",0.003150855416854
"1023_at",-0.0533979745566753
"1024_at",-0.052242730203365
"1025_g_at",-0.0532111879690051
"1026_s_at",-0.0307025767798328
"1027_at",-0.0617938929286346
"1028_at",-0.0500567459816808
"1029_s_at",0.0926927876434458
"103_at",0.24221044653901
"1030_s_at",-0.0364263605656303
"1031_at",-0.207803730976406
"1032_at",-0.0548017028077323
"1033_g_at",0.00686132769720182
"1034_at",0.0513495601817244
"1035_g_at",0.0473783713838445
"1036_at",0.479595829639804
"1037_at",-0.074707124422017
"1038_s_at",0.353750616315988
"1039_s_at",0.130812292995304
"104_at",-0.0855815773750044
"1040_s_at",-0.106672455671638
"1041_at",-0.0954481445950581
"1042_at",0.648458953979438
"1043_s_at",-0.0457980339325863
"1044_s_at",-0.0812522639151361
"1045_s_at",0.0785482555630916
"1046_at",0.378694402208503
"1047_s_at",-0.152592419460894
"1048_at",-0.0261862399088335
"1049_g_at",-0.0350817876884266
"105_at",0.00242501901041758
"1050_at",-0.070310168754959
"1051_g_at",-0.0560771877007535
"1052_s_at",0.516626186136833
"1053_at",-0.10482915710582
"1054_at",-0.185982707711688
"1055_g_at",-0.240881720183414
"1056_s_at",0.0874801429927627
"1057_at",0.232793246175362
"1058_at",0.03624792663663
"1059_at",0.0601293438666439
"106_at",0.204759230681981
"1060_g_at",0.0996715251342928
"1061_at",0.0779954107190892
"1062_g_at",0.247045936568797
"1063_s_at",-0.0373120101522781
"1064_at",0.266408899596883
"1065_at",0.0207524020741121
"1066_at",-0.0182448888623001
"1067_at",0.158076572621018
"1068_g_at",-0.0170512904139324
"1069_at",0.150234449765045
"107_at",0.0101446791427977
"1070_at",0.0222697454233913
"1071_at",-0.0724738326524279
"1072_g_at",-0.173972527720765
"1073_at",-0.00305700573592604
"1074_at",0.0968816314221168
"1075_f_at",0.00988134159263021
"1076_at",0.0657786066150834
"1077_at",0.0737931809122274
"1078_at",0.0163148252193848
"1079_g_at",-0.012655628432982
"108_g_at",-0.0373029340683846
"1080_s_at",-0.0800157174050407
"1081_at",-0.161969160622922
"1082_at",-0.166933663619112
"1083_s_at",-0.0399036706821123
"1084_at",-0.0950371850958791
"1085_s_at",0.116816888863646
"1086_at",0.0203406563437665
"1087_at",-0.198253381423472
